method,SyntheticControl,SonyAIBORobotSurface1 (test),ECG200, CBF,Adiac
squared,0.14 0.29 0.34 0.36,0.04 0.08 0.10 0.13,0.14 0.29 0.34 0.36,0.53 0.67 0.77 0.83, 0.01 0.02 0.03 0.04
dtw,0.66 0.81 0.84 0.88,0.51 0.63 0.70 0.72,0.66 0.81 0.84 0.88,0.83 1.00 1.00 1.00, 0.37 0.50 0.58 0.65
adtw,0.67 0.78 0.83 0.90,0.60 0.74 0.79 0.81,0.67 0.78 0.83 0.90,0.90 1.00 1.00 1.00, 0.12 0.21 0.26 0.32
ddtw,0.53 0.66 0.72 0.76,0.45 0.57 0.62 0.65,0.53 0.66 0.72 0.76,0.73 0.87 0.90 0.97, 0.32 0.42 0.47 0.51
erp,0.74 0.83 0.88 0.89,0.85 0.92 0.94 0.96,0.74 0.83 0.88 0.89,0.93 1.00 1.00 1.00, 0.49 0.63 0.67 0.74
edr,0.76 0.87 0.90 0.93,0.77 0.85 0.89 0.91,0.76 0.87 0.90 0.93,0.93 0.97 1.00 1.00, 0.08 0.12 0.16 0.19
lcss,0.19 0.39 0.51 0.58,0.09 0.18 0.24 0.29,0.19 0.39 0.51 0.58,0.63 1.00 1.00 1.00, 0.01 0.02 0.02 0.03
manhattan,0.36 0.43 0.48 0.50,0.28 0.34 0.37 0.38,0.36 0.43 0.48 0.50,0.53 0.77 0.87 0.87, 0.02 0.03 0.05 0.06
minkowski,0.14 0.29 0.34 0.36,0.04 0.08 0.10 0.13,0.14 0.29 0.34 0.36,0.53 0.67 0.77 0.83, 0.01 0.02 0.03 0.04
msm,0.79 0.89 0.92 0.94,0.85 0.92 0.95 0.96,0.79 0.89 0.92 0.94,0.97 1.00 1.00 1.00, 0.54 0.64 0.71 0.76
sbd,0.15 0.28 0.35 0.40,0.07 0.14 0.19 0.24,0.15 0.28 0.35 0.40,0.50 0.83 0.87 0.87, 0.00 0.02 0.04 0.05
shape_dtw,0.33 0.45 0.52 0.58,0.20 0.29 0.36 0.39,0.33 0.45 0.52 0.58,0.73 0.90 0.97 1.00, 0.27 0.41 0.49 0.55
twe,0.80 0.89 0.94 0.95,0.85 0.92 0.95 0.96,0.80 0.89 0.94 0.95,0.93 1.00 1.00 1.00, 0.56 0.65 0.70 0.74
wddtw,0.53 0.67 0.72 0.75,0.45 0.58 0.62 0.66,0.53 0.67 0.72 0.75,0.77 0.90 0.93 0.97, 0.31 0.41 0.47 0.51
wdtw,0.67 0.80 0.85 0.88,0.51 0.64 0.71 0.72,0.67 0.80 0.85 0.88,0.90 1.00 1.00 1.00, 0.36 0.50 0.60 0.65
psed, 0.61 0.74 0.77 0.82 (175.73765468597412 581457101), 0.67 0.77 0.83 0.85,0.81 0.88 0.92 0.93 (138.52535104751587 367078356), 1.00 1.00 1.00 1.00 (61.80010533332825 144715449), 0.57 0.71 0.78 0.83 (23892.412362337112 54549344741)
dtw_psed,0.64 0.78 0.81 0.84,0.53 0.64 0.71 0.75,0.73 0.84 0.88 0.88,0.90 1.00 1.00 1.00,0.33 0.45 0.54 0.62
adtw_psed,0.63 0.77 0.80 0.83,0.64 0.76 0.81 0.84,0.80 0.88 0.92 0.93,0.93 1.00 1.00 1.00,0.57 0.71 0.78 0.83
ddtw_psed,0.55 0.69 0.74 0.77,0.37 0.53 0.59 0.63,0.54 0.68 0.75 0.76,0.73 0.93 1.00 1.00,0.21 0.34 0.43 0.49
erp_psed,0.74 0.84 0.87 0.90,0.83 0.91 0.92 0.94,0.89 0.96 1.00 1.00,0.93 1.00 1.00 1.00,0.78 0.87 0.91 0.91
edr_psed,0.77 0.87 0.89 0.90,0.75 0.87 0.90 0.92,0.87 0.94 0.97 1.00,1.00 1.00 1.00 1.00,0.16 0.25 0.32 0.36
lcss_psed,0.21 0.40 0.50 0.56,0.12 0.23 0.30 0.35,0.29 0.49 0.60 0.67,0.73 0.97 1.00 1.00,0.00 0.01 0.02 0.02
manhattan_psed,0.78 0.88 0.91 0.92,0.87 0.94 0.96 0.97,0.90 0.99 1.00 1.00,1.00 1.00 1.00 1.00,0.79 0.87 0.91 0.92
minkowski_psed,0.63 0.75 0.78 0.82,0.71 0.80 0.85 0.88,0.86 0.89 0.92 0.94,0.97 1.00 1.00 1.00,0.59 0.73 0.79 0.83
msm_psed,0.78 0.87 0.90 0.91,0.86 0.93 0.96 0.97,0.90 0.99 1.00 1.00,1.00 1.00 1.00 1.00,0.79 0.87 0.91 0.92
sbd_psed,0.60 0.72 0.76 0.78,0.64 0.77 0.81 0.85,0.81 0.87 0.90 0.93,0.97 1.00 1.00 1.00,0.57 0.73 0.78 0.84
shape_dtw_psed,0.58 0.72 0.75 0.78,0.65 0.76 0.82 0.85,0.81 0.88 0.90 0.93,0.93 0.97 1.00 1.00,0.53 0.70 0.77 0.81
twe_psed,0.78 0.87 0.90 0.92,0.88 0.93 0.96 0.97,0.90 0.97 1.00 1.00,1.00 1.00 1.00 1.00,0.79 0.87 0.91 0.92
wddtw_psed,0.55 0.68 0.74 0.78,0.38 0.53 0.60 0.63,0.53 0.69 0.75 0.76,0.70 0.93 1.00 1.00,0.20 0.33 0.43 0.48
wdtw_psed,0.65 0.77 0.81 0.84,0.53 0.65 0.72 0.76,0.73 0.84 0.88 0.88,0.90 1.00 1.00 1.00,0.34 0.45 0.54 0.61